#NAME#,DISPLAYORDER,TYPECODE,DESCRIPTION,SESSIONID,TIMESTAMP,VERSION
MONTHLY,'1','01','Monthly','0',sysdate,'0'
BI_WEEKLY,'2','02','Bi-weekly','0',sysdate,'0'
