#NAME#,DISPLAYORDER,TYPECODE,DESCRIPTION,SESSIONID,TIMESTAMP,VERSION
'ARM','1','01','Adjustable Payment Based on Index- Adjustable Rate','0',sysdate,'0'
'INTERMEDIATE_ARM','2','01-1','Intermediate ARM','0',sysdate,'0'
'GEM','3','04','Growing Equity Mortgage (GEM)','0',sysdate,'0'
'FIXED','4','05','Fixed Rate','0',sysdate,'0'
'GPM','5','06','Graduated Payment Mortgage (GPM)','0',sysdate,'0'
'OTHER','6','13','Other Loan Payment Type','0',sysdate,'0'
