#NAME#,DISPLAYORDER,TYPECODE,DESCRIPTION,SESSIONID,TIMESTAMP,VERSION
_02,'1','02','Metes and Bounds','0',sysdate,'0'
F1,'-1','F1','Other','0',sysdate,'0'
