#NAME#,DISPLAYORDER,TYPECODE,DESCRIPTION,SESSIONID,TIMESTAMP,VERSION
YES,'1','1','HOEPA Loan','0',sysdate,'0'
NO,'2','2','Not HOEPA Loan','0',sysdate,'0'
